type,animalname,source,sourceanswer,animalimage,fact,questionaudio,question,lettera,choicea,letterb,choiceb,correctanswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,factresponse.keys,factresponse.corr,factresponse.rt,factresponse.started,factresponse.stopped,sourceresponse.keys,sourceresponse.corr,sourceresponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
Insect,Woolly Bear Caterpillar,male,a,woollybearcaterpillar.jpg,The woolly bear caterpillar is resistant to freezing.,woollybearcaterpillar.aiff,What are woolly bear caterpillars resistant to?,a. ,Freezing,b. ,Overheating,a,0,0,0,3,,,,,,,,,,,,,example,001,2020_Jul_08_1458,COGwkshp_Benear,2020.1.2,59.67015163622184,
Bird,Toucan,female,b,toucan.jpg,Toucans regulate their body temperature by adjusting bloodflow to their beaks.,toucan.aiff,How do toucans regulate their body temperature?,a. ,"Opening their mouths, similar to panting",b. ,Adjusting bloodflow to their beaks,b,0,1,1,1,,,,,,,,,,,,,example,001,2020_Jul_08_1458,COGwkshp_Benear,2020.1.2,59.67015163622184,
Marine animal,Clownfish,female,b,clownfish.jpg,The largest female clownfish is at the top of its group hierarchy.,clownfish.aiff,What clownfish is at the top of its group's hierarchy?,a. ,The oldest female,b. ,The largest female,b,0,2,2,2,,,,,,,,,,,,,example,001,2020_Jul_08_1458,COGwkshp_Benear,2020.1.2,59.67015163622184,
Mammal,Polar Bear,male,a,polarbear.jpg,Polar bears can smell a seal breathing hole in the ice from one kilometer away.,polarbear.aiff,What can a polar bear smell from one kilometer away?,a. ,A seal breathing hole,b. ,An elk carcass,a,0,3,3,0,,,,,,,,,,,,,example,001,2020_Jul_08_1458,COGwkshp_Benear,2020.1.2,59.67015163622184,
Bird,Toucan,female,b,toucan.jpg,Toucans regulate their body temperature by adjusting bloodflow to their beaks.,toucan.aiff,How do toucans regulate their body temperature?,a. ,"Opening their mouths, similar to panting",b. ,Adjusting bloodflow to their beaks,b,,,,,0,0,0,1,b,1,4.450955370999509,36.19148903699988,None,b,1,2.0358030799998232,example,001,2020_Jul_08_1458,COGwkshp_Benear,2020.1.2,59.67015163622184,
Insect,Woolly Bear Caterpillar,male,a,woollybearcaterpillar.jpg,The woolly bear caterpillar is resistant to freezing.,woollybearcaterpillar.aiff,What are woolly bear caterpillars resistant to?,a. ,Freezing,b. ,Overheating,a,,,,,0,1,1,3,a,1,2.52060803600034,42.77801377299966,None,b,0,2.1295312019992707,example,001,2020_Jul_08_1458,COGwkshp_Benear,2020.1.2,59.67015163622184,
Mammal,Polar Bear,male,a,polarbear.jpg,Polar bears can smell a seal breathing hole in the ice from one kilometer away.,polarbear.aiff,What can a polar bear smell from one kilometer away?,a. ,A seal breathing hole,b. ,An elk carcass,a,,,,,0,2,2,0,a,1,3.4091741519996503,47.51342320200001,None,a,1,1.9177351580001414,example,001,2020_Jul_08_1458,COGwkshp_Benear,2020.1.2,59.67015163622184,
Marine animal,Clownfish,female,b,clownfish.jpg,The largest female clownfish is at the top of its group hierarchy.,clownfish.aiff,What clownfish is at the top of its group's hierarchy?,a. ,The oldest female,b. ,The largest female,b,,,,,0,3,3,2,a,0,4.421537170000192,52.932876396999745,None,b,1,2.4895977440000934,example,001,2020_Jul_08_1458,COGwkshp_Benear,2020.1.2,59.67015163622184,
